filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
boof.exe,\Windows\SysWOW64\boof.exe,6281031128.0,996867144.0,99.98971342334488,True,True,True,True,1.0,True,True,True
boof.sys,\Windows\SysWOW64\boof.sys,6281031900.0,996867544.0,99.98971342334488,True,True,True,True,1.0,True,True,True
boof.dll,\Windows\SysWOW64\boof.dll,6281030353.0,996866744.0,99.98971342334488,True,True,True,True,1.0,True,True,True
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,6281330555.0,959986720.0,99.84399303673442,True,True,True,True,1.0,True,True,True
lsdb2.json.new,\ProgramData\Avast Software\Avast\lsdb2.json.new,6291963097.0,958099104.0,99.83961176815414,False,False,True,True,1.0,True,True,True
Appraiser_TelemetryRunList.xml,\Windows\appcompat\appraiser\AltData\Appraiser_TelemetryRunList.xml,6281333917.0,959987952.0,99.81931806676447,True,True,True,True,1.0,True,True,True
OneDrive.exe,\Program Files\Microsoft OneDrive\OneDrive.exe,6282905221.0,997049496.0,99.81144802458934,False,False,True,True,1.0,True,True,True
OneDriveStandaloneUpdater.exe,\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,6282971717.0,997052256.0,99.77882219870285,False,False,True,True,1.0,True,True,True
asw35130d1c2be86e0b.tmp,\Windows\Temp\asw35130d1c2be86e0b.tmp,6280373185.0,996702976.0,99.76354554294842,False,False,True,True,1.0,True,True,True
asw6a432a45eda3f7ef.tmp,\Windows\Temp\asw6a432a45eda3f7ef.tmp,6280377580.0,996704928.0,99.76354554294842,False,False,True,True,1.0,True,True,True
aswd9520500a967ece8.tmp,\Windows\Temp\aswd9520500a967ece8.tmp,6280378918.0,996705824.0,99.76354554294842,False,False,True,True,1.0,True,True,True
aswe89ffd4b1c9391f3.tmp,\Windows\Temp\aswe89ffd4b1c9391f3.tmp,6280375036.0,996703872.0,99.76354554294842,False,False,True,True,1.0,True,True,True
BIT6CF6.tmp,\Users\blueangel\AppData\Local\Temp\BIT6CF6.tmp,6281156754.0,996932080.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT2086.tmp,\Users\blueangel\AppData\Local\Temp\BIT2086.tmp,6280691166.0,996793176.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT20A6.tmp,\Users\blueangel\AppData\Local\Temp\BIT20A6.tmp,6280685606.0,996790648.0,99.76288903371022,True,True,True,True,1.0,True,True,True
